lemma,language,person,form
do,english,first,do
do,english,second,do
do,english,third,does
do,italian,first,faccio
do,italian,second,fai
do,italian,third,fa
do,polish,first,robię
do,polish,second,robisz
do,polish,third,robi
have,english,first,have
have,english,second,have
have,english,third,has
have,italian,first,ho
have,italian,second,hai
have,italian,third,ha
have,polish,first,mam
have,polish,second,masz
have,polish,third,ma
be,english,first,am
be,english,second,are
be,english,third,is
be,italian,first,sono
be,italian,second,sei
be,italian,third,è
be,polish,first,jestem
be,polish,second,jesteś
be,polish,third,jest
say,english,first,say
say,english,second,say
say,english,third,says
say,italian,first,dico
say,italian,second,dici
say,italian,third,dice
say,polish,first,mówię
say,polish,second,mówiesz
say,polish,third,mówi
